pollutant,group,large_grid_id,sailing_emissions,berth_emissions
PM,2,10427,285.132401119,0.03556416
PM,2,10428,21.234523705,0.026840773000000002
PM,2,10570,0.371984084,2.33248e-4
PM,2,10597,0.012908001,0
PM,2,10599,13.392905397,0
PM,2,10600,282.253946485,0.155135949
PM,2,10601,280.20090188300003,45.494338663
PM,2,10739,0.010884775,0.010891647
PM,2,10740,6.43053e-4,0
PM,2,10741,0.12313963800000001,0.004800534
PM,2,10742,0.195803674,0
PM,2,10768,0.007345557,0
PM,2,10769,0.012500138,1.29056e-4
PM,2,10929,1.56559e-5,0
PM,3,9557,35.471389539,26.067821821
PM,3,9559,1.428684075,0.493129017
PM,3,9560,0.128442392,0.019169501
PM,3,9728,4.823293888,0
PM,3,9729,41.477511282,21.731960716
PM,3,9730,23.632919772999998,0.5574965860000001
PM,3,9731,22.00239624,0
PM,3,9732,28.852975769,27.15790986
PM,3,9733,22.335639258,0.126405258
PM,3,9734,4.488991565,0
PM,3,9886,12.585089459,0
PM,3,9887,12.761698554999999,0.64717051
PM,3,9888,9.510450182,0.288610006
PM,3,9889,124.73845785099999,2.8080903619999997
PM,3,9890,2.0501236880000002,0
PM,3,9891,4.944045986,8.5267e-4
PM,3,9892,5.820421979,0
PM,3,9894,15.318281303000001,0
PM,3,9895,18.712874033000002,11.452199230000002
PM,3,9899,0.990139896,0.256138776
PM,3,9900,23.008175733,0.08845732
PM,3,9901,0.003803445,0
PM,3,9905,0.635466187,0
PM,3,9906,24.934542941,0
PM,3,9907,4.981691997,0
PM,3,10058,17.37241702,0.369036261
PM,3,10062,2.67023315,0.032850882
PM,3,10064,7.597005297,0.034356742
PM,3,10066,42.373655144999994,0.740354276
PM,3,10067,4.562435626,0
PM,3,10068,22.742926898,15.66812634
PM,3,10069,16.003101288,7.661748939
PM,3,10070,49.288953434,204.12782112
PM,3,10071,20.117594917999998,0.074444137
PM,3,10072,3.817251771,0
PM,3,10078,61.936164312,66.6486613
PM,3,10079,26.367646108,70.067746808
PM,3,10229,9.89523752,0
PM,3,10230,23.352047551,0
PM,3,10236,3.651579527,0
PM,3,10237,46.235849629,0.43163571
PM,3,10238,19.151559599000002,0
PM,3,10251,24.007082722,0.092480807
PM,3,10252,29.127225273,0
PM,3,10253,30.677892856,0
PM,3,10254,30.223039678000003,0
PM,3,10255,0.031855167,0
PM,3,10256,0.220061136,0
PM,3,10398,0.228263424,0
PM,3,10399,0.762849653,0
PM,3,10400,6.5907902720000004,0.012543863
PM,3,10401,9.449251487,0.761409538
PM,3,10402,0.003052305,0
PM,3,10409,9.120414265,0.146223816
PM,3,10426,8.681097129,0
PM,3,10427,38.856757694,0
PM,3,10428,2.597978791,0
PM,3,10570,0.344853097,0
PM,3,10599,2.586497514,0
PM,3,10600,162.24193072600002,33.07956338
PM,3,10601,24.617378180000003,1.927896541
PM,3,10741,0.230574669,0.270550436
PM,3,10742,0.257824083,0
PM,3,10760,2.06311e-4,0
